year,country,region,happiness_rank,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,perceptions_of_corruption,dystopia_residual,standard_error,lower_ci,upper_ci,whisker_high,whisker_low
2017,South Africa,Sub-Saharan Africa,101,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,1.51090860366821,,,,4.92943518772721,4.72856480464339
2017,Tunisia,Middle East and Northern Africa,102,4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,1.89025115966797,,,,4.88436700701714,4.72563264966011
2017,Palestinian Territories,Middle East and Northern Africa,103,4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,1.8788902759552,,,,4.88184834256768,4.66815184816718
2017,Egypt,Middle East and Northern Africa,104,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,1.70216107368469,,,,4.82513378962874,4.64486647740006
2017,Bulgaria,Central and Eastern Europe,105,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,0.996139287948608,,,,4.80369470641017,4.62430574372411
2017,Sierra Leone,Sub-Saharan Africa,106,4.70900011062622,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,2.66845989227295,,,,4.85064333498478,4.56735688626766
2017,Cameroon,Sub-Saharan Africa,107,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2.3336455821991,,,,4.79654085725546,4.5934594860673
2017,Iran,Middle East and Northern Africa,108,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,1.49873495101929,,,,4.79822470769286,4.58577511683106
2017,Albania,Central and Eastern Europe,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,1.49044156074524,,,,4.75246400639415,4.53553610041738
2017,Bangladesh,Southern Asia,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,1.97873616218567,,,,4.68982165828347,4.52617794498801
2017,Namibia,Sub-Saharan Africa,111,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,1.4818902015686,,,,4.77035474091768,4.37764502257109
2017,Kenya,Sub-Saharan Africa,112,4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,1.6519021987915,,,,4.65569159060717,4.45030835598707
2017,Mozambique,Sub-Saharan Africa,113,4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2.35565090179443,,,,4.77410232633352,4.3258980551362
2017,Myanmar,Southeastern Asia,114,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,1.11529040336609,,,,4.61473994642496,4.47526020616293
2017,Senegal,Sub-Saharan Africa,115,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,1.78964614868164,,,,4.6016037812829,4.46839591354132
2017,Zambia,Sub-Saharan Africa,116,4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,1.82670545578003,,,,4.64410550147295,4.38389437645674
2017,Iraq,Middle East and Northern Africa,117,4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,1.31890726089478,,,,4.62259140968323,4.37140902519226
2017,Gabon,Sub-Saharan Africa,118,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,1.32291626930237,,,,4.5573617656529,4.37263853952289
2017,Ethiopia,Sub-Saharan Africa,119,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2.01574373245239,,,,4.54272867664695,4.377271399647
2017,Sri Lanka,Southern Asia,120,4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,0.419389247894287,,,,4.55344719231129,4.32655292212963
2017,Armenia,Central and Eastern Europe,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,1.5214991569519,,,,4.46673461228609,4.28526524275541
2017,India,Southern Asia,122,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,1.5191171169281,,,,4.37152201749384,4.25847809694707
2017,Mauritania,Sub-Saharan Africa,123,4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,1.65163731575012,,,,4.37716361626983,4.20683601751924
2017,Congo (Brazzaville),Sub-Saharan Africa,124,4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,1.72413563728333,,,,4.41005350500345,4.17194627374411
2017,Georgia,Central and Eastern Europe,125,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,1.50013780593872,,,,4.37493396580219,4.19706558406353
2017,Congo (Kinshasa),Sub-Saharan Africa,126,4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2.22495865821838,,,,4.35781083270907,4.20218958690763
2017,Mali,Sub-Saharan Africa,127,4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,1.66819095611572,,,,4.26967071101069,4.11032940343022
2017,Ivory Coast,Sub-Saharan Africa,128,4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,1.84496426582336,,,,4.27518256321549,4.08481709346175
2017,Cambodia,Southeastern Asia,129,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,1.04294109344482,,,,4.27851781353354,4.05748262897134
2017,Sudan,Sub-Saharan Africa,130,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,1.68706583976746,,,,4.34574716508389,3.9322527128458
2017,Ghana,Sub-Saharan Africa,131,4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,1.57786750793457,,,,4.22270720854402,4.01729256257415
2017,Ukraine,Central and Eastern Europe,132,4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,0.814382314682007,,,,4.18541010454297,4.00659028455615
2017,Uganda,Sub-Saharan Africa,133,4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,1.526362657547,,,,4.19579996705055,3.96619973540306
2017,Burkina Faso,Sub-Saharan Africa,134,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,1.72721290588379,,,,4.12405906438828,3.93994106531143
2017,Niger,Sub-Saharan Africa,135,4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,1.87398338317871,,,,4.11194681972265,3.94405293613672
2017,Malawi,Sub-Saharan Africa,136,3.97000002861023,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,2.08178615570068,,,,4.07747881740332,3.86252123981714
2017,Chad,Sub-Saharan Africa,137,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2.07123804092407,,,,4.0347115239501,3.83728869348764
2017,Zimbabwe,Sub-Saharan Africa,138,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,1.59797024726868,,,,3.97869964271784,3.77130035728216
2017,Lesotho,Sub-Saharan Africa,139,3.80800008773804,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.157497271895409,0.119094640016556,1.42983531951904,,,,4.04434397548437,3.5716561999917
2017,Angola,Sub-Saharan Africa,140,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371,1.61448240280151,,,,3.95164193540812,3.63835821717978
2017,Afghanistan,Southern Asia,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321,,,,3.87366141527891,3.71433840543032
2017,Botswana,Sub-Saharan Africa,142,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,0.3779137134552,,,,3.87412266626954,3.65787739858031
2017,Benin,Sub-Saharan Africa,143,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,1.88563096523285,,,,3.74578355133533,3.56821657836437
2017,Madagascar,Sub-Saharan Africa,144,3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,1.58461260795593,,,,3.71431910589337,3.57368100091815
2017,Haiti,Latin America and Caribbean,145,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,1.69716763496399,,,,3.73471479773521,3.47128505349159
2017,Yemen,Middle East and Northern Africa,146,3.59299993515015,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,1.34560060501099,,,,3.69275031983852,3.49324955046177
2017,South Sudan,Sub-Saharan Africa,147,3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1.87956738471985,,,,3.72553858578205,3.45646157443523
2017,Liberia,Sub-Saharan Africa,148,3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,1.67328596115112,,,,3.65375626087189,3.41224372386932
2017,Guinea,Sub-Saharan Africa,149,3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1.55231189727783,,,,3.58442812889814,3.4295718100667
2017,Togo,Sub-Saharan Africa,150,3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,1.83722925186157,,,,3.59403811171651,3.39596165940166
2017,Rwanda,Sub-Saharan Africa,151,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,0.540061235427856,,,,3.54303023353219,3.39896967872977
2017,Syria,Middle East and Northern Africa,152,3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,1.06157350540161,,,,3.66366855680943,3.26033122956753
2017,Tanzania,Sub-Saharan Africa,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,0.621130466461182,,,,3.46142975538969,3.23657019883394
2017,Burundi,Sub-Saharan Africa,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,1.68302416801453,,,,3.07469033300877,2.73530960977077
2017,Central African Republic,Sub-Saharan Africa,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2.06600475311279,,,,2.86488426923752,2.52111588716507
2018,Finland,Western Europe,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393,,,,,,
2018,Norway,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,,,,,,
2018,Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408,,,,,,
2018,Iceland,Western Europe,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,,,,,,
2018,Switzerland,Western Europe,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,,,,,,
2018,Netherlands,Western Europe,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,,,,,,
2018,Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291,,,,,,
2018,New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,,,,,,
2018,Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,,,,,,
2018,Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302,,,,,,
2018,United Kingdom,Western Europe,11,7.19,1.244,1.433,0.888,0.464,0.262,0.082,,,,,,
2018,Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224,,,,,,
2018,Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101,,,,,,
2018,Ireland,Western Europe,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306,,,,,,
2018,Germany,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,,,,,,
2018,Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24,,,,,,
2018,Luxembourg,Western Europe,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,,,,,,
2018,United States,North America,18,6.886,1.398,1.471,0.819,0.547,0.291,0.133,,,,,,
2018,Israel,Middle East and Northern Africa,19,6.814,1.301,1.559,0.883,0.533,0.354,0.272,,,,,,
2018,United Arab Emirates,Middle East and Northern Africa,20,6.774,2.096,0.776,0.67,0.284,0.186,,,,,,,
2018,Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034,,,,,,
2018,Malta,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,,,,,,
2018,France,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,,,,,,
2018,Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095,,,,,,
2018,Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061,,,,,,
2018,Taiwan,Eastern Asia,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078,,,,,,
2018,Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063,,,,,,
2018,Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088,,,,,,
2018,Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,,,,,,
2018,Guatemala,Latin America and Caribbean,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071,,,,,,
2018,Uruguay,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,,,,,,
2018,Qatar,Middle East and Northern Africa,32,6.374,1.649,1.303,0.748,0.654,0.256,0.171,,,,,,
2018,Saudi Arabia,Middle East and Northern Africa,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,,,,,,
2018,Singapore,Southeastern Asia,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457,,,,,,
2018,Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,,,,,,
2018,Spain,Western Europe,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074,,,,,,
2018,Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,,,,,,
2018,Trinidad & Tobago,Latin America and Caribbean,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019,,,,,,
2018,Slovakia,Central and Eastern Europe,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014,,,,,,
2018,El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082,,,,,,
2018,Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,,,,,,
2018,Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064,,,,,,
2018,Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123,,,,,,
2018,Uzbekistan,Central and Eastern Europe,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259,,,,,,
2018,Kuwait,Middle East and Northern Africa,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106,,,,,,
2018,Thailand,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,,,,,,
2018,Italy,Western Europe,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028,,,,,,
2018,Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,,,,,,
2018,Belize,Latin America and Caribbean,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089,,,,,,
2018,Lithuania,Central and Eastern Europe,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,,,,,,
2018,Slovenia,Central and Eastern Europe,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,,,,,,
2018,Romania,Central and Eastern Europe,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001,,,,,,
2018,Latvia,Central and Eastern Europe,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,,,,,,
2018,Japan,Eastern Asia,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,,,,,,
2018,Mauritius,Sub-Saharan Africa,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05,,,,,,
2018,Jamaica,Latin America and Caribbean,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,,,,,,
2018,South Korea,Eastern Asia,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,,,,,,
2018,Northern Cyprus,Western Europe,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154,,,,,,
2018,Russia,Central and Eastern Europe,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,,,,,,
2018,Kazakhstan,Central and Eastern Europe,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,,,,,,
2018,Cyprus,Western Europe,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035,,,,,,
2018,Bolivia,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,,,,,,
2018,Estonia,Central and Eastern Europe,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174,,,,,,
2018,Paraguay,Latin America and Caribbean,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,,,,,,
2018,Peru,Latin America and Caribbean,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,,,,,,
2018,Kosovo,Central and Eastern Europe,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023,,,,,,
2018,Moldova,Central and Eastern Europe,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,,,,,,
2018,Turkmenistan,Central and Eastern Europe,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037,,,,,,
2018,Hungary,Central and Eastern Europe,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022,,,,,,
2018,Libya,Middle East and Northern Africa,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,,,,,,
2018,Philippines,Southeastern Asia,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105,,,,,,
2018,Honduras,Latin America and Caribbean,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074,,,,,,
2018,Belarus,Central and Eastern Europe,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,,,,,,
2018,Turkey,Middle East and Northern Africa,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109,,,,,,
2018,Pakistan,Southern Asia,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113,,,,,,
2018,Hong Kong,Eastern Asia,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291,,,,,,
2018,Portugal,Western Europe,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017,,,,,,
2018,Serbia,Central and Eastern Europe,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043,,,,,,
2018,Greece,Western Europe,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044,,,,,,
2018,Lebanon,Middle East and Northern Africa,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,,,,,,
2018,Montenegro,Central and Eastern Europe,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,,,,,,
2018,Croatia,Central and Eastern Europe,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,,,,,,
2018,Dominican Republic,Latin America and Caribbean,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,,,,,,
2018,Algeria,Middle East and Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,,,,,,
2018,Morocco,Middle East and Northern Africa,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,,,,,,
2018,China,Eastern Asia,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103,,,,,,
2018,Azerbaijan,Central and Eastern Europe,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176,,,,,,
